514418179,redboat1,Junior Officer
500837392,Chaosprime,Reservist
519343133,Absolutely_Not_A_Spy,Reservist
500770853,FrontSlash,Private
502107692,Hardbeat723,Private
502773806,TheFinalL,Reservist
538119217,jellikka_1,Reservist
500743735,donDuky,Private
533136955,DieWithMe666,Private
540557374,MossieQ,Junior Officer
511610437,bufferzone,Recruitment Officer
528165446,bilo_can_5500,Reservist
542977804,Announcerer_,Recruit
516667996,RustyRoger,Junior Officer
505942288,Abgreyd,Executive Officer
516970085,mistervanni,Junior Officer
520200818,ozzie1014,Reservist
556473460,Subarashiides,Reservist
519249017,Tommy_Tanker_1,Reservist
556168826,Sambooo,Private
518252672,Sloanarc,Reservist
501128849,vacers,Personnel Officer
507005589,Shaggymst,Recruit
527535766,the_guy_2002,Executive Officer
500854935,lucasw99,Reservist
506726049,ziedsaid92,Private
518262951,curath,Reservist
502912680,Deamon1,Recruitment Officer
544600749,KhanMash,Reservist
515637431,M_CH,Recruit
502936253,weebey,Reservist
500927166,_Sanyboy_,Private
501748415,Geneva_Conflict,Recruit
515655366,_TripLE9,Recruit
501886164,Maarlena,Executive Officer
559120597,GGWP_Ez,Reservist
502294744,Breandan,Private
541600479,mdawg_fighter,Recruitment Officer
503027950,SandstormPlayer,Private
512834290,BogatynieMan,Reservist
526900984,autarkie,Private
543052025,Keklord,Private
554259198,Sandblastedskin,Private
500287241,cuculan,Recruit
511852812,Silver_Sausage,Private
519827215,ReSilence,Reservist
556966672,Hildegard_Lehmann,Reservist
528315352,Spitfire_729_squad,Private
508426515,Staale_,Recruit
513448735,Capt_TomOfFinland,Private
509267746,DWFAngel,Junior Officer
546076981,nadbiskup97,Personnel Officer
509750583,suka_blt,Recruit
510297400,DomB12,Commander
501912379,Radjator,Reservist
517506369,Winston____Churchill,Private
502825282,_HOXTON_,Reservist
509863236,Moulie,Private
502367062,Visceral77,Recruit
501965657,Orhideja,Private
534751581,savit1,Private
507951969,bijesniigo,Recruit
522895717,ViperTankV5_0,Private
500402538,markyc60,Executive Officer
501475707,Bavaricus,Private
500921212,svitcak,Private
502144895,Goorock,Recruit
527477120,Zvika_Force73,Reservist
505428866,Werkatze,Private
510388102,acid1ty_NO_CAP,Reservist
529116823,Commander_Kakapo,Private
504721303,burtiss,Private
501541792,Keller4ever,Reservist
501711271,FoForum,Recruit
500104616,1234567890,Recruit
501183421,I_Am_Canadian,Reservist
528030112,The_Punisher75,Private
509662668,Wh1sk3y_T4ng0,Private
515633614,CamJam1,Reservist
520371667,almhssin_999,Recruit
517604824,2Cold,Private
516345822,RNG_GOD,Recruit
500517859,The_Pershing,Private
506629104,dozer5199,Reservist
509541875,Madlust,Private
527704566,Boodler,Reservist
500715512,connochio,Reservist
