500079106,koel76,Private
530965000,TheRuby_99,Recruit
500117506,netopier,Private
503845903,kullpull15,Private
526515223,BuIIet2,Private
500601371,SGT_PACHENKO,Recruit
511847964,Salam666,Private
541638685,ATOM_WORSHIPFUL,Private
501423647,Zegamax77,Private
503489056,m00seman,Recruit
504260642,_CrownVictoria_,Private
540451882,instaDaToXic,Recruitment Officer
538575915,_YukimuraSanada,Combat Officer
501069879,Aggeee,Private
509638202,Dastan2010,Private
519422523,Jooksja,Executive Officer
503855449,Mittahullu,Recruit
500296259,Muhibbullah,Executive Officer
508824132,bobvonken1,Private
501447238,espidi,Recruit
504440391,Zhenwu,Private
500921939,Babyloncurse,Private
504059749,asiSympho_,Private
509294187,Razpusa,Private
513356415,Pur3_DaLegend,Junior Officer
504186561,asiMystik,Private
503314057,Gabiseush,Combat Officer
528733322,Animaxxa,Recruit
507492491,Snuscher,Private
500696211,Fonske009,Recruit
500862101,peedu,Private
521860249,__Forseti___,Private
501348508,BradWulf,Recruit
500205733,akkupati,Reservist
504019111,Why_Not_Krepy,Recruit
504584872,_ClosedEyes_,Recruit
500777135,Sakete,Recruit
500357310,santtis,Recruit
506753729,tarmoest,Private
500463302,Margaryna,Recruit
501619402,Xipan,Private
526712013,LauraOlen,Personnel Officer
504559826,Niiloust22,Recruit
503613652,Lojalny,Private
501253342,Donnar12,Recruit
514245857,KkThxDie,Recruit
514959079,XIDOR93,Recruit
556204779,Action__Jackson,Private
510258412,slaveboy,Private
513120499,TitaniumTurnip,Recruit
502013690,tbboy,Executive Officer
501586559,999spike999,Commander
526371580,_Prophetheus_,Private
520767742,Fix_is_back,Executive Officer
517057791,Telopodavashto,Private
516859140,Xippys,Private
540190476,meuto,Recruit
559023493,_sit_,Recruit
514720037,SaleKojot,Recruit
538183466,Sea_Razgriz,Junior Officer
505887024,luuporama,Junior Officer
500891447,Shetlandslarsen,Recruit
502722886,Skill4fra,Private
523240264,Arogoo,Private
514971984,r2pp2r,Junior Officer
534427476,_Wait4u,Recruit
523695961,007TheTanker,Private
500404060,kroxa,Recruit
500257634,Murris,Private
542450235,arkalhos13,Recruit
511470949,bmw2014,Recruit
539670890,taby_mackan,Private
517288304,Touble,Private
551433077,BuIIet1,Personnel Officer
500343161,charly_baraka,Recruit
528372609,CrazyFeizy,Personnel Officer
501514115,souldrain,Reservist
502187909,zimpixa,Private
542799751,CallOfKthulu,Combat Officer
511475599,fidodido09,Recruit
505979803,Styxnor,Private
508597148,Cptn_Murdock,Recruit
557202334,Schweinemaus,Private
503625631,Hedidiit,Private
534349216,x_Topi_x,Recruit
500734910,DiazTheLegend,Recruit
524785568,rex1309,Private
501994947,REALiNf0,Junior Officer
510504906,SleepoBeepo,Recruit
547347405,Sexy_Horse,Recruit
528546773,Mind_Blower_1,Recruit
510019032,pilot2001,Recruit
502932966,Heishi,Recruit
522253808,SGBR,Recruit
508165108,Gumusmermi,Recruit
535362040,Fainaru_Furasshu,Recruitment Officer
502378836,vontoi,Recruitment Officer
503931903,Gvozda,Recruit
